number,sentence,label
232,You can try Moviechat.,NOT
233,They logged all the IMDb boards and threads and you can make new ones too.,NOT
234,"Bill the Butcher, no better than a Bond villain.",MOV
235,Then tell me what movie released only in theaters successful this year.,MOV
236,I don't think he can answer that.,NOT
237,Well you shouldn’t base life expectations on movies.,MOV
238,That leads to some dangerous circumstances.,NOT
239,"In a more recent sci fi, the human life extended to maybe 5 or 6 hundred years.",NOT
240,This is a Utopian future.,NOT
241,And they say ennui or boredom are the main killers.,NOT
242,"But if you make it past the first 200 years, you’ll probably be fine.",NOT
243,It's only in the UK isnt it,NOT
244,How many times have they remade that?,MOV
245,"not required for either courses, it’s optional summer prep",NOT
246,But is it going to be Rachel Weisz?,NOT
247,“We don’t think you fight fire with fire best ; we think you fight fire with water best.,NOT
248,"We’re going to fight racism not with racism, but we’re going to fight with solidarity.",NOT
249,"We say we’re not going to fight capitalism with black capitalism, but we’re going to fight it with socialism.",NOT
